year_month,total_records,active_hours,fault_hours,avg_rpm,avg_load_pct,total_fuel_litres,avg_temp_c,avg_soil_moisture,total_rainfall_mm,idle_hours,active_duty_pct,fault_rate_pct
2024-01,744,379,15,1489.5,44.1,5914.7,3.3,44.6,225.8,350,50.94,2.02
2024-02,696,355,17,1491.4,43.9,5527.1,6.5,43.1,192.9,324,51.01,2.44
2024-03,744,377,20,1482.4,42.8,5736.4,11.2,41.4,228.8,347,50.67,2.69
2024-04,720,364,19,1485.4,43.2,5585.8,16.3,39.3,217.5,337,50.56,2.64
2024-05,744,362,13,1466.3,42.6,5699.6,20.3,37.7,231.4,369,48.66,1.75
2024-06,720,351,13,1466.7,42.5,5495.2,21.8,37.3,233.9,356,48.75,1.81
2024-07,744,392,18,1517.9,44.9,5986.7,20.9,37.5,208.9,334,52.69,2.42
2024-08,744,373,13,1496.4,43.3,5776.7,17.3,39.1,220.1,358,50.13,1.75
2024-09,720,378,12,1524.0,45.2,5845.7,12.6,40.9,216.9,330,52.5,1.67
2024-10,744,390,15,1513.6,44.5,5965.8,7.5,43.0,216.2,339,52.42,2.02
2024-11,720,369,14,1501.1,43.8,5690.1,3.6,44.4,218.8,337,51.25,1.94
2024-12,720,363,13,1491.8,43.3,5613.1,2.1,44.8,219.3,344,50.42,1.81
