hour,total_readings,active_hours,avg_rpm,avg_load_pct,avg_fuel_lh,active_pct
0,365,61,1008.3,24.2,4.31,16.71
1,365,74,1063.1,26.3,4.7,20.27
2,365,72,1055.1,25.4,4.57,19.73
3,365,71,1062.4,25.9,4.68,19.45
4,365,60,1016.8,23.5,4.22,16.44
5,365,70,1041.8,25.1,4.5,19.18
6,365,249,1740.2,53.6,9.65,68.22
7,365,248,1734.9,53.4,9.63,67.95
8,365,261,1782.2,55.5,9.97,71.51
9,365,251,1745.3,53.9,9.69,68.77
10,365,266,1783.8,56.6,10.19,72.88
11,365,250,1745.9,53.9,9.65,68.49
12,365,260,1794.4,55.2,9.95,71.23
13,365,259,1780.4,55.0,9.94,70.96
14,365,259,1767.6,55.0,9.88,70.96
15,365,258,1784.5,55.4,9.99,70.68
16,365,252,1743.2,53.7,9.66,69.04
17,365,262,1789.2,56.2,10.1,71.78
18,365,251,1749.3,54.0,9.74,68.77
19,365,246,1727.3,53.3,9.62,67.4
20,365,255,1750.5,54.3,9.79,69.86
21,365,77,1078.8,26.9,4.82,21.1
22,365,69,1039.8,25.7,4.64,18.9
23,365,72,1068.9,26.0,4.69,19.73
