day_of_week,dow_name,hour,total_readings,active_hours,active_pct
0,Monday,0,53,6,11.32
0,Monday,1,53,13,24.53
0,Monday,2,53,9,16.98
0,Monday,3,53,6,11.32
0,Monday,4,53,8,15.09
0,Monday,5,53,6,11.32
0,Monday,6,53,30,56.6
0,Monday,7,53,32,60.38
0,Monday,8,53,36,67.92
0,Monday,9,53,31,58.49
0,Monday,10,53,36,67.92
0,Monday,11,53,36,67.92
0,Monday,12,53,44,83.02
0,Monday,13,53,38,71.7
0,Monday,14,53,32,60.38
0,Monday,15,53,38,71.7
0,Monday,16,53,37,69.81
0,Monday,17,53,41,77.36
0,Monday,18,53,36,67.92
0,Monday,19,53,37,69.81
0,Monday,20,53,38,71.7
0,Monday,21,53,15,28.3
0,Monday,22,53,10,18.87
0,Monday,23,53,12,22.64
1,Tuesday,0,52,9,17.31
1,Tuesday,1,52,11,21.15
1,Tuesday,2,52,14,26.92
1,Tuesday,3,52,12,23.08
1,Tuesday,4,52,9,17.31
1,Tuesday,5,52,10,19.23
1,Tuesday,6,52,29,55.77
1,Tuesday,7,52,32,61.54
1,Tuesday,8,52,36,69.23
1,Tuesday,9,52,36,69.23
1,Tuesday,10,52,36,69.23
1,Tuesday,11,52,31,59.62
1,Tuesday,12,52,37,71.15
1,Tuesday,13,52,40,76.92
1,Tuesday,14,52,39,75.0
1,Tuesday,15,52,36,69.23
1,Tuesday,16,52,35,67.31
1,Tuesday,17,52,32,61.54
1,Tuesday,18,52,38,73.08
1,Tuesday,19,52,34,65.38
1,Tuesday,20,52,38,73.08
1,Tuesday,21,52,7,13.46
1,Tuesday,22,52,13,25.0
1,Tuesday,23,52,10,19.23
2,Wednesday,0,52,7,13.46
2,Wednesday,1,52,12,23.08
2,Wednesday,2,52,13,25.0
2,Wednesday,3,52,12,23.08
2,Wednesday,4,52,9,17.31
2,Wednesday,5,52,5,9.62
2,Wednesday,6,52,43,82.69
2,Wednesday,7,52,42,80.77
2,Wednesday,8,52,45,86.54
2,Wednesday,9,52,35,67.31
2,Wednesday,10,52,37,71.15
2,Wednesday,11,52,34,65.38
2,Wednesday,12,52,42,80.77
2,Wednesday,13,52,41,78.85
2,Wednesday,14,52,30,57.69
2,Wednesday,15,52,32,61.54
2,Wednesday,16,52,37,71.15
2,Wednesday,17,52,40,76.92
2,Wednesday,18,52,35,67.31
2,Wednesday,19,52,36,69.23
2,Wednesday,20,52,39,75.0
2,Wednesday,21,52,15,28.85
2,Wednesday,22,52,8,15.38
2,Wednesday,23,52,10,19.23
3,Thursday,0,52,11,21.15
3,Thursday,1,52,11,21.15
3,Thursday,2,52,8,15.38
3,Thursday,3,52,7,13.46
3,Thursday,4,52,7,13.46
3,Thursday,5,52,10,19.23
3,Thursday,6,52,35,67.31
3,Thursday,7,52,44,84.62
3,Thursday,8,52,32,61.54
3,Thursday,9,52,37,71.15
3,Thursday,10,52,42,80.77
3,Thursday,11,52,37,71.15
3,Thursday,12,52,35,67.31
3,Thursday,13,52,34,65.38
3,Thursday,14,52,40,76.92
3,Thursday,15,52,35,67.31
3,Thursday,16,52,33,63.46
3,Thursday,17,52,36,69.23
3,Thursday,18,52,36,69.23
3,Thursday,19,52,29,55.77
3,Thursday,20,52,36,69.23
3,Thursday,21,52,12,23.08
3,Thursday,22,52,8,15.38
3,Thursday,23,52,11,21.15
4,Friday,0,52,7,13.46
4,Friday,1,52,8,15.38
4,Friday,2,52,9,17.31
4,Friday,3,52,9,17.31
4,Friday,4,52,7,13.46
4,Friday,5,52,16,30.77
4,Friday,6,52,34,65.38
4,Friday,7,52,31,59.62
4,Friday,8,52,41,78.85
4,Friday,9,52,33,63.46
4,Friday,10,52,42,80.77
4,Friday,11,52,36,69.23
4,Friday,12,52,38,73.08
4,Friday,13,52,34,65.38
4,Friday,14,52,40,76.92
4,Friday,15,52,37,71.15
4,Friday,16,52,40,76.92
4,Friday,17,52,36,69.23
4,Friday,18,52,35,67.31
4,Friday,19,52,38,73.08
4,Friday,20,52,35,67.31
4,Friday,21,52,8,15.38
4,Friday,22,52,10,19.23
4,Friday,23,52,12,23.08
5,Saturday,0,52,10,19.23
5,Saturday,1,52,8,15.38
5,Saturday,2,52,11,21.15
5,Saturday,3,52,13,25.0
5,Saturday,4,52,10,19.23
5,Saturday,5,52,12,23.08
